facilityID,siteID,name,county,huc8,type,aquifer,latitude,longitude,sampleDate,year,doy,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,7/14/2009 11:45,2009,195,SHALLAKE,TURB,Turbidity,Total,,35.5,NTU,TRUE,,,,180.1,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,7/14/2009 11:45,2009,195,SHALLAKE,SPEC-COND,Specific conductance,Total,,425,uS/cm,TRUE,,,,2510,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,7/14/2009 11:45,2009,195,SHALLAKE,TEMP-WATER,"Temperature, water",Total,,24.4,deg C,TRUE,,,,2550,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,7/14/2009 11:45,2009,195,SHALLAKE,PH,pH,Total,,8.2,None,TRUE,,,,4500-H,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,7/14/2009 11:45,2009,195,SHALLAKE,7782-44-7,Dissolved oxygen (DO),Total,,6.3,mg/l,TRUE,,,,4500-O-G,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,7/14/2009 11:45,2009,195,SHALLAKE,DEPTH-SECCHI,"Depth, Secchi disk depth",Total,,0.34,m,TRUE,,,,Unknown,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,8/13/2009 11:00,2009,225,SHALLAKE,TURB,Turbidity,Total,,34,NTU,TRUE,,,,180.1,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,8/13/2009 11:00,2009,225,SHALLAKE,SPEC-COND,Specific conductance,Total,,428,uS/cm,TRUE,,,,2510,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,8/13/2009 11:00,2009,225,SHALLAKE,TEMP-WATER,"Temperature, water",Total,,25.1,deg C,TRUE,,,,2550,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,8/13/2009 11:00,2009,225,SHALLAKE,PH,pH,Total,,7.6,None,TRUE,,,,4500-H,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,8/13/2009 11:00,2009,225,SHALLAKE,7782-44-7,Dissolved oxygen (DO),Total,,7.9,mg/l,TRUE,,,,4500-O-G,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,8/13/2009 11:00,2009,225,SHALLAKE,DEPTH-SECCHI,"Depth, Secchi disk depth",Total,,0.3,m,TRUE,,,,Unknown,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,9/22/2009 11:00,2009,265,SHALLAKE,TURB,Turbidity,Total,,24.2,NTU,TRUE,,,,180.1,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,9/22/2009 11:00,2009,265,SHALLAKE,SPEC-COND,Specific conductance,Total,,430,uS/cm,TRUE,,,,2510,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,9/22/2009 11:00,2009,265,SHALLAKE,TEMP-WATER,"Temperature, water",Total,,18.5,deg C,TRUE,,,,2550,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,9/22/2009 11:00,2009,265,SHALLAKE,PH,pH,Total,,8.5,None,TRUE,,,,4500-H,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,9/22/2009 11:00,2009,265,SHALLAKE,7782-44-7,Dissolved oxygen (DO),Total,,8.4,mg/l,TRUE,,,,4500-O-G,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,9/22/2009 11:00,2009,265,SHALLAKE,DEPTH-SECCHI,"Depth, Secchi disk depth",Total,,0.21,m,TRUE,,,,Unknown,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,5/20/2010 10:30,2010,140,SHALLAKE,TURB,Turbidity,Total,,11.5,NTU,TRUE,,,,180.1,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,5/20/2010 10:30,2010,140,SHALLAKE,SPEC-COND,Specific conductance,Total,,409,uS/cm,TRUE,,,,2510,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,5/20/2010 10:30,2010,140,SHALLAKE,TEMP-WATER,"Temperature, water",Total,,18,deg C,TRUE,,,,2550,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,5/20/2010 10:30,2010,140,SHALLAKE,DEPTH-SECCHI,"Depth, Secchi disk depth",Total,,0.2,m,TRUE,,,,Unknown,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,6/16/2010 14:00,2010,167,SHALLAKE,TURB,Turbidity,Total,,13.4,NTU,TRUE,,,,180.1,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,6/16/2010 14:00,2010,167,SHALLAKE,TEMP-WATER,"Temperature, water",Total,,23.6,deg C,TRUE,,,,2550,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,6/16/2010 14:00,2010,167,SHALLAKE,PH,pH,Total,,8.5,None,TRUE,,,,4500-H,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,6/16/2010 14:00,2010,167,SHALLAKE,7782-44-7,Dissolved oxygen (DO),Total,,11.7,mg/l,TRUE,,,,4500-O-G,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,6/16/2010 14:00,2010,167,SHALLAKE,DEPTH-SECCHI,"Depth, Secchi disk depth",Total,,0.4,m,TRUE,,,,Unknown,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,5/26/2006 9:00,2006,146,SHALLAKE,TDS,Total dissolved solids,Dissolved,,330,mg/l,TRUE,1,,,160.1,DNRLAKE,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,5/26/2006 9:00,2006,146,SHALLAKE,TFSS,Fixed suspended solids,NonFilt,,24,mg/l,TRUE,1,,,160.4,DNRLAKE,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,5/26/2006 9:00,2006,146,SHALLAKE,TVSS,Volatile Suspended Solids,NonFilt,,44,mg/l,TRUE,1,,,160.4,DNRLAKE,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,5/26/2006 9:00,2006,146,SHALLAKE,16887-00-6,Chloride,Total,,28,mg/l,TRUE,1,,,300,DNRLAKE,Actual,SW,Water,,
