facilityID,siteID,name,sampleDate,year,projectCode,cas_rn,analyte,fraction,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer,latitude,longitude
6,22740001,Five Island Lake,06/19/03,2003,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,31.9,ug/l,TRUE,1,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,07/23/03,2003,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,40.5,ug/l,TRUE,1,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,05/20/04,2004,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,35.6,ug/l,TRUE,1,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,06/17/04,2004,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,42.8,ug/l,TRUE,1,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,07/21/04,2004,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,57.7,ug/l,TRUE,1,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,05/26/05,2005,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,37.6,ug/l,TRUE,1,,,ISU EPA 445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,06/22/05,2005,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,67.3,ug/l,TRUE,1,,,ISU EPA 445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,07/25/05,2005,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,181.8,ug/l,TRUE,1,,,ISU EPA 445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,06/08/06,2006,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,36.2,ug/l,TRUE,1,,,ISU EPA 445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,06/20/06,2006,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,35.2,ug/l,TRUE,1,,,ISU EPA 445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,07/25/06,2006,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,30.6,ug/l,TRUE,1,,,ISU EPA 445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,06/04/09,2009,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,17,ug/l,TRUE,5,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,07/08/09,2009,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,18,ug/l,TRUE,5,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,08/05/09,2009,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,27,ug/l,TRUE,5,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,06/01/10,2010,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,34,ug/l,TRUE,5,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,07/19/10,2010,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,43,ug/l,TRUE,5,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,09/05/10,2010,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,111,ug/l,TRUE,5,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,05/31/11,2011,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,39,ug/l,TRUE,5,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,07/18/11,2011,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,77,ug/l,TRUE,5,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,08/29/11,2011,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,214,ug/l,TRUE,5,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,05/30/12,2012,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,52,ug/l,TRUE,2,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,07/17/12,2012,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,90,ug/l,TRUE,2,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,08/31/12,2012,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,67,ug/l,TRUE,2,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,05/28/13,2013,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,2,ug/l,FALSE,2,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,07/15/13,2013,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,47,ug/l,TRUE,2,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,08/27/13,2013,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,85,ug/l,TRUE,2,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,06/02/14,2014,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,38.08,ug/l,TRUE,3.3,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,07/21/14,2014,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,44.56,ug/l,TRUE,3.3,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,09/01/14,2014,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,53.04,ug/l,TRUE,3.3,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,06/01/15,2015,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,12,ug/l,TRUE,6.06,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,07/20/15,2015,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,49,ug/l,TRUE,6.06,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,08/30/15,2015,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,54,ug/l,TRUE,6.06,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,05/31/16,2016,AMBLAKE-ISU,479-61-8,Chlorophyll a,Filterable,10,ug/l,TRUE,1,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,07/18/16,2016,AMBLAKE-ISU,479-61-8,Chlorophyll a,Filterable,46,ug/l,TRUE,1,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,08/30/16,2016,AMBLAKE-ISU,479-61-8,Chlorophyll a,Filterable,48,ug/l,TRUE,1,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,05/31/17,2017,AMBLAKE-ISU,479-61-8,Chlorophyll a,Filterable,70,ug/l,TRUE,3.3,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,07/18/17,2017,AMBLAKE-ISU,479-61-8,Chlorophyll a,Filterable,3.3,ug/l,FALSE,3.3,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,09/07/17,2017,AMBLAKE-ISU,479-61-8,Chlorophyll a,Filterable,29,ug/l,TRUE,3.3,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,05/31/18,2018,AMBLAKE-ISU,479-61-8,Chlorophyll a,Filterable,13,ug/l,TRUE,0.4,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,07/17/18,2018,AMBLAKE-ISU,479-61-8,Chlorophyll a,Filterable,58,ug/l,TRUE,0.4,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,09/05/18,2018,AMBLAKE-ISU,479-61-8,Chlorophyll a,Filterable,91,ug/l,TRUE,0.4,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,05/30/19,2019,AMBLAKE-ISU,479-61-8,Chlorophyll a,Filterable,51.18,ug/l,TRUE,1.2,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,07/23/19,2019,AMBLAKE-ISU,479-61-8,Chlorophyll a,Filterable,18.13,ug/l,TRUE,1.2,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22740001,Five Island Lake,09/04/19,2019,AMBLAKE-ISU,479-61-8,Chlorophyll a,Filterable,6.38,ug/l,TRUE,1.2,,,445,ISULAKE,Actual,SW,Water,,,Palo Alto,7100002,Lake,,43.141767,-94.660349
6,22130001,North Twin Lake (maximum water depth),06/15/00,2000,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,113.6,ug/l,TRUE,1,,,10200-H,ISULAKE,Actual,SW,Water,,,Calhoun,7100006,Lake,,42.476873,-94.63802
6,22130001,North Twin Lake (maximum water depth),07/14/00,2000,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,111.3,ug/l,TRUE,1,,,10200-H,ISULAKE,Actual,SW,Water,,,Calhoun,7100006,Lake,,42.476873,-94.63802
6,22130001,North Twin Lake (maximum water depth),08/07/00,2000,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,80.6,ug/l,TRUE,1,,,10200-H,ISULAKE,Actual,SW,Water,,,Calhoun,7100006,Lake,,42.476873,-94.63802
6,22130001,North Twin Lake (maximum water depth),05/17/01,2001,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,172.5,ug/l,TRUE,1,,,10200-H,ISULAKE,Actual,SW,Water,,,Calhoun,7100006,Lake,,42.476873,-94.63802
6,22130001,North Twin Lake (maximum water depth),06/14/01,2001,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,112.6,ug/l,TRUE,1,,,10200-H,ISULAKE,Actual,SW,Water,,,Calhoun,7100006,Lake,,42.476873,-94.63802
