X,LakeName,SiteID,LakeID,SampleID,SiteType,WaterDepth,TopDepth,BottomDepth,MCfrac,OM,bd,DryMassEq,LooseP,IronP,AlP,LabileOP,CalciumP,TP_ug
46,Silver,8,SI,SI8,Littoral,2.5,0,10,0.80528317,13.56628983,1.115535865,0.02503842,190.1777349,NA,NA,NA,NA,955.9511591
47,Silver,9,SI,SI9,Littoral,1.8,0,10,0.727328557,12.53753754,1.172003322,0.02522475,105.0555506,NA,NA,NA,NA,855.0443743
48,Silver,10,SI,SI10,Littoral,2,0,10,0.780561122,11.87214612,1.135083115,0.02549428,151.6124401,NA,NA,NA,NA,1042.705058
49,Storm,1A,SO,SO1A,Deep,4.2,0,2,0.71055025,6.520031422,1.199773366,0.02349928,89.53465808,232.2677546,49.83083278,148.9991238,55.94156605,779.3853368
50,Storm,1B,SO,SO1B,Deep,4.2,2,4,0.656030632,5.318491033,1.250649749,0.0248024,81.79651969,199.9302487,44.52070547,98.11265388,93.85821635,714.1560903
51,Storm,1C,SO,SO1C,Deep,4.2,4,6,0.682489924,5.641748942,1.226042151,0.0241935,89.31117862,227.7471222,50.87708125,141.0146208,78.89895192,700.3496395
52,Storm,1D,SO,SO1D,Deep,4.2,6,8,0.66798224,6.389301634,1.236497583,0.0255972,66.68698139,221.557436,49.56875719,145.5661693,55.18465541,740.8462534
53,Storm,1E,SO,SO1E,Deep,4.2,8,10,0.646182495,6.776315789,1.254672897,0.02674728,67.61435181,225.2331826,50.94125216,161.5750639,95.27924763,736.8857962
54,Storm,1F,SO,SO1F,Deep,4.2,10,15,0.661711531,6.828978622,1.240634945,0.02520335,53.16753527,254.7528404,58.30667338,142.4756474,58.27246961,722.082076
55,Storm,1G,SO,SO1G,Deep,4.2,15,20,0.64564091,6.166560712,1.257260507,0.02576488,61.44992719,248.1818274,52.50792237,147.8361701,111.5023513,773.5047572
56,Storm,2,SO,SO2,Littoral,2.5,0,10,0.29364115,1.290137615,1.75154161,0.02373504,6.962280241,NA,NA,NA,NA,347.7507208
57,Storm,3,SO,SO3,Littoral,2.5,0,10,0.660800386,6.041222459,1.243978961,0.02571136,52.20455083,NA,NA,NA,NA,687.635001
58,Storm,4,SO,SO4,Littoral,4.6,0,10,0.700678829,5.953224663,1.209529073,0.02499155,42.97452539,NA,NA,NA,NA,707.8362314
59,Storm,5,SO,SO5,Littoral,2.5,0,10,0.550543604,4.73494596,1.357758933,0.02449775,48.55547958,NA,NA,NA,NA,646.4757743
60,Storm,6,SO,SO6,Littoral,2.6,0,10,0.63811871,6.242905789,1.263892494,0.02341493,66.17572634,NA,NA,NA,NA,697.0081059
61,Storm,7,SO,SO7,Littoral,2.3,0,10,0.681412072,6.83994528,1.223457271,0.02376756,44.39875191,NA,NA,NA,NA,724.7504271
62,Storm,8,SO,SO8,Littoral,2.3,0,10,0.605872907,4.831199069,1.300089476,0.02624706,37.30894051,NA,NA,NA,NA,640.3855292
63,Storm,9,SO,SO9,Littoral,3.2,0,10,0.70531401,6.62568306,1.203847301,0.02528526,55.33856484,NA,NA,NA,NA,749.9416459
64,Storm,10,SO,SO10,Littoral,2.5,0,10,0.59126258,4.924454393,1.3143095,0.02848639,50.69087378,NA,NA,NA,NA,691.2269089
65,North Twin,1A,NT,NT1A,Deep,3.5,0,2,0.940029667,27.91519435,1.027329817,0.025032,86.43935762,150.2701542,23.29012186,NA,50.29138566,NA
66,North Twin,1B,NT,NT1B,Deep,3.5,2,4,0.905620361,26.06741573,1.044866441,0.02503488,73.94682938,116.1729155,24.34448123,NA,90.96446538,1404.181801
67,North Twin,1C,NT,NT1C,Deep,3.5,4,6,0.918924972,26.51933702,1.038056405,0.02488959,98.18361813,120.3038097,30.30536392,NA,26.29043227,1343.518863
68,North Twin,1D,NT,NT1D,Deep,3.5,6,8,0.89877095,22.51655629,1.050716131,0.02507736,94.82656867,94.94619848,31.31990587,NA,4.898944531,1133.77938
69,North Twin,1E,NT,NT1E,Deep,3.5,8,10,0.882114789,21.81818182,1.060127012,0.02486511,94.96237901,95.21373523,27.13655298,NA,9.821285876,1125.369096
70,North Twin,1F,NT,NT1F,Deep,3.5,10,15,0.864736592,19.47368421,1.07184504,0.02458401,110.000362,81.75537677,27.50161522,NA,16.42206253,1205.275416
71,North Twin,1G,NT,NT1G,Deep,3.5,15,20,0.845556514,19.83240223,1.082477189,0.02603184,153.6579819,99.89449459,31.42506541,NA,6.654595449,592.2916211
72,North Twin,2,NT,NT2,Littoral,1.8,0,10,0.719775281,18.44426624,1.163656113,0.02364888,142.7763175,NA,NA,NA,NA,933.0643281
73,North Twin,3,NT,NT3,Littoral,2.7,0,10,0.849790148,16.47058824,1.083672455,0.02527866,99.38224574,NA,NA,NA,NA,969.3861666
74,North Twin,4,NT,NT4,Littoral,3,0,10,0.911115917,22.62773723,1.044191217,0.02504313,87.91832331,NA,NA,NA,NA,1152.368258
75,North Twin,5,NT,NT5,Littoral,3,0,10,0.900736025,23.64729459,1.048922203,0.0254208,72.71604355,NA,NA,NA,NA,1104.391214
76,North Twin,6,NT,NT6,Littoral,3.1,0,10,0.902527076,21.2962963,1.049548237,0.024648,82.61319377,NA,NA,NA,NA,1103.410787
77,North Twin,7,NT,NT7,Littoral,2.2,0,10,0.870413377,18.27956989,1.069711447,0.02564784,79.91901072,NA,NA,NA,NA,1032.940055
78,North Twin,8,NT,NT8,Littoral,2.9,0,10,0.883990719,20.36363636,1.060279723,0.0252996,80.13960695,NA,NA,NA,NA,1150.077004
79,North Twin,9,NT,NT9,Littoral,2.9,0,10,0.899865892,20.98214286,1.051183806,0.02433431,68.031516,NA,NA,NA,NA,1110.665183
80,North Twin,10,NT,NT10,Littoral,2.8,0,10,0.815343443,15.33816425,1.10644598,0.02449122,76.19056952,NA,NA,NA,NA,1013.558847
81,South Twin,1A,ST,ST1A,Deep,1.5,0,2,0.893799002,20.58165548,1.054744877,0.02533932,110.3226132,143.6650628,25.25956506,NA,49.48673646,929.0097556
82,South Twin,1B,ST,ST1B,Deep,1.5,2,4,0.840532286,19.4254446,1.085860058,0.02464275,82.34673484,72.28038673,20.75314491,NA,24.85748432,944.1765084
83,South Twin,1C,ST,ST1C,Deep,1.5,4,6,0.83801726,17.4863388,1.089622554,0.0248994,119.5811947,120.2689623,26.41958129,NA,38.10252334,972.608666
84,South Twin,1D,ST,ST1D,Deep,1.5,6,8,0.834870075,20.30456853,1.088121799,0.02502916,126.3526223,114.6787387,16.32465467,NA,26.63468359,931.8799693
85,South Twin,1E,ST,ST1E,Deep,1.5,8,10,0.827135452,19.42633638,1.093748222,0.02581397,123.5571282,100.187999,15.52305915,NA,23.28190282,851.0594381
86,South Twin,1F,ST,ST1F,Deep,1.5,10,15,0.777491208,18.44046365,1.12571823,0.02471975,124.5967293,104.7694657,16.09528282,NA,40.56697799,1153.378083
87,South Twin,1G,ST,ST1G,Deep,1.5,15,20,0.747992864,18.76106195,1.144146973,0.0247716,101.789953,111.2413005,8.976786136,NA,35.87608972,791.3358921
88,South Twin,2,ST,ST2,Littoral,1.5,0,10,0.843704776,19.90740741,1.083463997,0.02627403,115.855847,NA,NA,NA,NA,1047.72187
89,South Twin,3,ST,ST3,Littoral,1.6,0,10,0.860342857,21.60392799,1.072243274,0.02422398,106.2893051,NA,NA,NA,NA,1070.295472
90,South Twin,4,ST,ST4,Littoral,0.7,0,10,0.833829154,22.50639386,1.086064264,0.02596044,114.3663204,NA,NA,NA,NA,516.067857
91,South Twin,5,ST,ST5,Littoral,1.4,0,10,0.842129846,18.19526627,1.086335428,0.02520084,110.6609938,NA,NA,NA,NA,580.0297877
92,South Twin,6,ST,ST6,Littoral,1.4,0,10,0.842921348,19.1702432,1.084755297,0.02411485,135.8913698,NA,NA,NA,NA,1093.508639
93,South Twin,7,ST,ST7,Littoral,0.8,0,10,0.820995671,18.37968561,1.098792536,0.0244335,104.4263,NA,NA,NA,NA,984.7556349
94,South Twin,8,ST,ST8,Littoral,1.4,0,10,0.858592849,18.9233279,1.075908284,0.02514092,84.40423024,NA,NA,NA,NA,1038.890423
95,South Twin,9,ST,ST9,Littoral,1.5,0,10,0.836181362,19.19332406,1.088687058,0.0248157,109.2453568,NA,NA,NA,NA,1038.67708
96,South Twin,10,ST,ST10,Littoral,1.4,0,10,0.841457643,19.40298507,1.085345134,0.02461505,108.4194426,NA,NA,NA,NA,1050.861622
97,Swan,1A,SW,SW1A,Deep,3,0,2,0.915614773,19.94459834,1.043375483,0.02517652,90.22295377,466.5780855,205.6538541,NA,16.91368619,1665.972967
98,Swan,1B,SW,SW1B,Deep,3,2,4,0.863895075,14.72727273,1.076915192,0.02562763,70.25620395,582.037824,135.1599551,NA,8.778215402,1492.943608
99,Swan,1C,SW,SW1C,Deep,3,4,6,0.838167587,14.93598862,1.092555332,0.02520844,22.42304561,419.5469851,85.94126641,NA,12.86866998,1195.896544
100,Swan,1D,SW,SW1D,Deep,3,6,8,0.809183916,11.97007481,1.115286481,0.02598696,23.51179207,345.3679268,93.85733343,NA,11.82676852,1045.069484
101,Swan,1E,SW,SW1E,Deep,3,8,10,0.784514722,11.63967611,1.132722677,0.02471785,37.26052225,351.8838613,115.9335782,NA,16.64485219,970.3195897
102,Swan,1F,SW,SW1F,Deep,3,10,15,0.793552519,11.27197518,1.127045236,0.0262128,12.75140389,345.2487907,90.02797332,NA,21.79440002,912.924047
103,Swan,1G,SW,SW1G,Deep,3,15,20,0.787393162,12.86432161,1.128673197,0.02512932,22.75230687,346.6369166,75.50306066,NA,16.75229347,869.8962262
104,Swan,2,SW,SW2,Littoral,1.9,0,10,0.793491609,12.19028741,1.125606947,0.02521365,43.8948744,NA,NA,NA,NA,1301.369717
105,Swan,3,SW,SW3,Littoral,1.6,0,10,0.738621,11.37931034,1.166242167,0.02428406,16.12168641,NA,NA,NA,NA,894.2897048
106,Swan,4,SW,SW4,Littoral,1.5,0,10,0.700060472,11.02150538,1.196508414,0.02483172,10.24898799,NA,NA,NA,NA,936.7346877
107,Swan,5,SW,SW5,Littoral,1.5,0,10,0.812030075,11.89189189,1.113484065,0.02585,29.50676983,NA,NA,NA,NA,995.1148876
108,Swan,6,SW,SW6,Littoral,2,0,10,0.870831481,12.56454389,1.074692152,0.02536196,55.83164708,NA,NA,NA,NA,1382.654323
109,Swan,7,SW,SW7,Littoral,1.8,0,10,0.923128046,13.54466859,1.042642408,0.02471566,35.24081493,NA,NA,NA,NA,1208.544128
110,Swan,8,SW,SW8,Littoral,2.1,0,10,0.821936357,12.67427123,1.105814824,0.02553954,40.55476332,NA,NA,NA,NA,1291.210504
111,Swan,9,SW,SW9,Littoral,2.8,0,10,0.841835598,12.3943662,1.093216688,0.02425206,48.97522107,NA,NA,NA,NA,1332.124199
112,Swan,10,SW,SW10,Littoral,3.3,0,10,0.830708661,12.5,1.1002999,0.02419297,50.04552976,NA,NA,NA,NA,1342.368364
